M000    -8      27      0   
M001    1       63      0
M002    -32     10      0
M003    -66     32      0
M004    -124    -19     0
M005    -102    -49     0
M006    -18     -61     0
M007    -90     -169    0  
M008    -93     -302    0  
M009    32      -137    0  
M010    88      -279    0  
M011    84      -118    0  
M012    140     -135    0  
M013    237     -160    0  
M014    281     -52     0
M015    211     16      0
M016    288     49      0
M017    200     123     0
M018    106     -11     0    
M019    171     -51     0
M020    97      -66     0
M021    -296    -93     0
M022    -322    93      0
M023    -373    236     0
M024    -351    386     0
M025    -182    462     0
M026    -99     253     0
M027    41      212     0
M028    -51     148     0
M029    -89     111     0
M030    171     350     0
M031    247     330     0
M032    461     412     0
M033    581     1104    0  
M034    358     207     0
M035    386     54      0
M036    388     -57     0
M037    380     -226    0  
M038    213     -336    0  
M039    254     -360    0  
M040    -27     -480    0  
M041    -287    -429    0  
M042    -362    -227    0  
M043    -630    106     0
M044    -896    839     0
M045    -1832   503     0
M046    -1467   1996    0  
M047    -578    -284    0  
M048    -2805   2935    0  
M049    -3605   674     0
M050    -2052   -612    0  
M051    -850    -537    0  
M052    -593    -918    0  
M053    9       -1075   0   
M054    872     -267    0  
M055    1201    333     0
M056    1598    705     0
M057    295     3511    0  
M058    2805    2935    0  
M059    3685    998     0
M060    3419    -1614   0  
M061    -16     -2099   0  
M062    -1440   -2280   0  
M063    -3419   -1614   0  
