    0.26576E-02    0.92593E+04
    0.27113E-02    0.94110E+04
    0.27660E-02    0.95645E+04
    0.28219E-02    0.97198E+04
    0.28789E-02    0.98769E+04
    0.29371E-02    0.10036E+05
    0.29964E-02    0.10196E+05
    0.30569E-02    0.10359E+05
    0.31187E-02    0.10523E+05
    0.31817E-02    0.10689E+05
    0.32460E-02    0.10857E+05
    0.33115E-02    0.11027E+05
    0.33784E-02    0.11198E+05
    0.34467E-02    0.11371E+05
    0.35163E-02    0.11546E+05
    0.35874E-02    0.11723E+05
    0.36598E-02    0.11901E+05
    0.37338E-02    0.12081E+05
    0.38092E-02    0.12263E+05
    0.38861E-02    0.12446E+05
    0.39646E-02    0.12631E+05
    0.40447E-02    0.12817E+05
    0.41264E-02    0.13005E+05
    0.42098E-02    0.13193E+05
    0.42948E-02    0.13381E+05
    0.43816E-02    0.13569E+05
    0.44701E-02    0.13756E+05
    0.45604E-02    0.13942E+05
    0.46525E-02    0.14129E+05
    0.47465E-02    0.14315E+05
    0.48424E-02    0.14503E+05
    0.49402E-02    0.14692E+05
    0.50400E-02    0.14883E+05
    0.51419E-02    0.15077E+05
    0.52457E-02    0.15272E+05
    0.53517E-02    0.15469E+05
    0.54598E-02    0.15667E+05
    0.55701E-02    0.15866E+05
    0.56826E-02    0.16064E+05
    0.57974E-02    0.16263E+05
    0.59145E-02    0.16460E+05
    0.60340E-02    0.16657E+05
    0.61559E-02    0.16854E+05
    0.62803E-02    0.17050E+05
    0.64072E-02    0.17246E+05
    0.65366E-02    0.17441E+05
    0.66686E-02    0.17635E+05
    0.68033E-02    0.17829E+05
    0.69408E-02    0.18022E+05
    0.70810E-02    0.18213E+05
    0.72240E-02    0.18404E+05
    0.73700E-02    0.18592E+05
    0.75189E-02    0.18780E+05
    0.76708E-02    0.18965E+05
    0.78257E-02    0.19148E+05
    0.79838E-02    0.19329E+05
    0.81451E-02    0.19508E+05
    0.83096E-02    0.19685E+05
    0.84775E-02    0.19858E+05
    0.86488E-02    0.20029E+05
    0.88235E-02    0.20197E+05
    0.90017E-02    0.20362E+05
    0.91836E-02    0.20523E+05
    0.93691E-02    0.20681E+05
    0.95583E-02    0.20834E+05
    0.97514E-02    0.20984E+05
    0.99484E-02    0.21130E+05
    0.10149E-01    0.21270E+05
    0.10354E-01    0.21407E+05
    0.10564E-01    0.21538E+05
    0.10777E-01    0.21664E+05
    0.10995E-01    0.21784E+05
    0.11217E-01    0.21899E+05
    0.11443E-01    0.22008E+05
    0.11675E-01    0.22111E+05
    0.11910E-01    0.22207E+05
    0.12151E-01    0.22297E+05
    0.12397E-01    0.22380E+05
    0.12647E-01    0.22456E+05
