257.17 	31.43 	257.20 	31.44 
265.91 	23.19 	265.88 	23.18 
100.80 	29.27 	100.81 	29.23 
110.47 	37.35 	110.53 	37.29 
			
262.49 	26.54 	262.61 	26.24 
266.34 	22.76 	266.46 	22.44 
102.28 	30.61 	102.31 	30.57 
111.17 	37.87 	111.22 	37.86 
			
254.74 	33.53 	254.82 	33.99 
267.03 	22.07 	267.11 	22.56 
104.18 	32.26 	104.22 	33.22 
111.92 	38.42 	111.87 	39.42 
			
263.88 	25.20 	264.21 	24.60 
267.47 	21.63 	267.74 	21.09 
105.57 	33.45 	105.71 	33.58 
112.72 	39.00 	112.88 	39.06 
			
260.03 	28.85 	260.03 	28.74 
268.42 	20.67 	268.37 	20.61 
106.14 	33.92 	106.21 	33.85 
113.42 	39.50 	113.44 	39.44 
			
261.70 	27.29 	261.59 	26.08 
268.92 	20.15 	268.77 	18.89 
107.09 	34.70 	107.30 	34.41 
114.05 	39.94 	114.28 	39.63 
			
257.96 	30.73 	258.24 	30.26 
269.30 	19.77 	269.54 	19.26 
108.01 	35.44 	108.12 	35.35 
114.76 	40.43 	114.83 	40.34 
			
264.49 	24.60 	264.77 	24.42 
270.16 	18.89 	270.44 	18.70 
108.86 	36.11 	108.93 	36.19 
115.22 	40.74 	115.17 	40.84 
			
258.74 	30.03 	258.76 	29.81 
270.75 	18.28 	270.81 	18.04 
109.69 	36.76 	109.73 	36.77 
115.93 	41.22 	115.88 	41.28 
